col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
18,189.02771,62.16435,1.2,21.07,45.2,0.02,0.99,24.31,0.25,11.06,0.03,-20.66,0.11,-25.25,0.11,219.27,39.61,1.78,11.31,0.13,11.44,0.13
19,189.1198,62.17326,0.94,21.88,37.7,0.38,0.82,17.76,0.73,10.66,0.05,-21.27,0.17,-24.44,0.2,167.54,8.68,9.51,10.94,0.04,11.11,0.04
20,189.15421,62.19997,0.78,21.38,79.5,0.06,0.65,9.16,0.22,10.12,0.17,-21.24,0.55,-24.09,0.62,141.64,12.2,17.87,10.51,0.06,10.73,0.06
21,189.34558,62.23891,1.02,22.25,77.7,0.67,0.99,20.31,0.25,11.03,0.04,-21.11,0.13,-25.13,0.14,222.8,46.14,2.77,11.24,0.15,11.38,0.15
22,189.32971,62.1921,0.56,20.06,21.3,0.26,0.5,23.75,0.19,10.98,0.06,-21.14,0.18,-25.06,0.21,285.87,23.59,5.2,11.53,0.05,11.67,0.05
23,189.0629,62.16447,0.45,21.98,81.3,0.24,0.95,4.07,0.17,9.37,0.11,-19.26,0.36,-21.81,0.41,104.04,7.27,21.41,9.88,0.05,10.17,0.05
24,189.50929,62.26008,0.46,21.18,76.3,0.07,0.83,5.24,0.17,9.4,0.11,-20.42,0.37,-22.72,0.41,128.05,2.64,23.48,10.18,0.02,10.45,0.02
25,189.39801,62.30154,0.84,20.54,61.3,0.07,0.88,18.45,0.23,11.34,0.13,-22.03,0.4,-25.92,0.47,300.37,2.21,8.13,11.46,0.01,11.61,0.01
26,189.32159,62.30137,0.97,22.32,41.6,0.0,1.0,9.73,0.24,9.9,0.2,-21.03,0.67,-23.94,0.76,178.64,9.45,7.17,10.73,0.04,10.89,0.04
27,189.3698,62.311,0.52,22.48,19.1,0.03,1.0,3.79,0.19,9.49,0.07,-19.03,0.22,-22.11,0.25,73.25,47.05,14.42,9.55,1.04,9.83,1.04
28,189.17931,62.17518,0.55,21.83,65.1,0.07,0.9,3.77,0.19,9.49,0.17,-19.96,0.55,-22.95,0.63,110.77,6.73,31.62,9.91,0.05,10.25,0.05
29,189.17041,62.18196,0.87,22.26,47.2,0.25,0.53,2.38,0.23,9.52,0.09,-20.74,0.18,-23.56,0.2,111.51,3.06,50.15,9.71,0.05,10.16,0.05
30,189.1595,62.19754,0.84,22.04,18.6,0.0,0.83,5.21,0.23,10.62,0.05,-20.65,0.18,-24.72,0.2,231.0,47.85,31.01,10.69,0.15,10.92,0.15
31,189.16029,62.22039,0.63,22.38,58.0,0.03,0.88,5.38,0.21,9.23,0.17,-19.91,0.56,-22.59,0.63,107.06,3.56,25.08,10.03,0.03,10.34,0.03
32,189.2254,62.23187,0.85,22.26,59.0,0.02,0.76,4.46,0.23,9.67,0.16,-20.65,0.53,-23.74,0.6,149.72,15.19,29.74,10.24,0.07,10.52,0.07
33,189.24078,62.24869,0.85,21.66,41.7,0.01,0.83,6.46,0.23,10.56,0.1,-21.01,0.32,-24.99,0.37,193.96,12.29,25.09,10.63,0.04,10.86,0.04
34,189.2677,62.27366,0.47,21.48,71.3,0.0,0.99,9.7,0.18,10.07,0.06,-19.65,0.19,-23.46,0.22,154.14,3.13,3.19,10.6,0.02,10.75,0.02
35,189.2083,62.27707,0.5,21.31,49.7,0.02,0.93,5.75,0.18,9.92,0.12,-20.0,0.36,-23.39,0.42,137.99,7.25,17.49,10.28,0.04,10.51,0.04
36,189.0444,62.18709,0.85,22.08,67.8,0.18,0.84,5.72,0.23,9.77,0.2,-20.92,0.65,-23.74,0.74,156.39,8.9,27.82,10.39,0.04,10.65,0.04
37,189.1109,62.21456,0.56,20.59,21.8,0.01,0.6,7.97,0.19,10.27,0.12,-21.04,0.37,-24.08,0.43,161.61,2.71,17.22,10.56,0.01,10.77,0.01
38,188.98679,62.16439,0.46,22.36,59.2,0.0,0.98,5.1,0.18,9.24,0.15,-17.72,0.46,-20.15,0.53,68.2,7.78,12.88,9.62,0.08,9.89,0.08
39,189.26929,62.28114,0.38,20.18,30.8,1.33,0.71,6.74,0.16,10.24,0.08,-20.38,0.26,-23.59,0.3,113.29,4.72,17.19,10.18,0.03,10.43,0.03
40,189.24979,62.28778,0.36,19.39,75.5,0.27,0.88,8.48,0.15,10.69,0.1,-20.69,0.3,-24.58,0.36,258.26,32.01,11.41,10.99,0.08,11.16,0.08
41,189.05009,62.19422,0.28,18.84,30.2,0.14,0.71,5.41,0.13,10.57,0.1,-20.62,0.31,-24.32,0.37,263.93,22.73,17.36,10.82,0.06,11.0,0.06
42,189.06628,62.21049,0.29,19.34,20.9,0.0,0.75,8.39,0.13,10.17,0.07,-20.5,0.2,-23.53,0.24,132.3,5.03,11.46,10.41,0.02,10.61,0.02
43,189.3336,62.27566,0.44,21.02,15.5,0.16,0.54,3.69,0.17,10.01,0.07,-19.99,0.2,-23.15,0.23,134.06,13.16,30.94,10.06,0.07,10.37,0.07
44,189.3606,62.3074,0.44,20.46,75.5,0.67,0.85,6.86,0.17,10.31,0.06,-20.37,0.18,-23.77,0.21,174.46,62.97,17.02,10.56,0.31,10.77,0.31
